Priority,APT,APT_New,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Number of Processors,Customer call back request,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
High,0,0,0,0,0,0,No,,Yes,20,No
High,0,0,0,0,0,1,No,No,Yes,50,No
Very high ,0,0,0,0,0,0,No,No,Yes,5,No
High,0,0,0,0,0,2,No,Yes,No,3000,No
High,0,0,0,0,0,0,No,Yes,No,15,Yes
Very high ,0,0,0,0,0,1,No,Yes,No,NA,No
High,0.125,0.5,2,0,1,1,No,No,Yes,NA,No
High,0.16,0.5,0,1,0,1,No,Yes,Yes,500,No
High,0.2,0.5,0,0,0,3,No,Yes,Yes,NA,No
High,0.45,0.5,0,0,1,1,No,Yes,Yes,500,No
High,0.91,1.5,0,0,0,0,No,,Yes,NA,No
High,1.08,1.5,0,0,2,1,No,No,No,1000,No
High,2.41,1.5,0,0.5,2,4,No,,Yes,3,No
High,3.58,4,0,3,1,2,No,Yes,Yes,NA,No
High,3.96,4,0,1,1,1,No,No,Yes,NA,No
High,4.5,4,0,1,2,1,No,No,Yes,NA,No
High,4.87,4,0,1,1,1,No,No,Yes,NA,No
High,7.79,10,1,1,1,1,No,No,Yes,250,No
High,10,10,0,4,1,1,No,No,N/A,NA,No
High,10.41,10,0,0,2,1,No,No,Yes,NA,No
High,11.375,10,2,0,1,1,No,,Yes,NA,No
High,14.62,16,1,8,3,1,No,Yes,No,NA,No
Medium,17,16,1,17,0,1,No,No,Yes,300,No
High,17.3,16,4,2,0,0,Yes,Yes,N/A,NA,No
High,20,23,1,0,1,1,No,Yes,N/A,20,N/A
Low,25.62,23,0,1,1,3,No,No,Yes,NA,No
High,43.45,45,1,1,2,3,No,Yes,Yes,500,No
High,49.12,45,3,50,2,1,No,No,No,20,No
