Priority,APT,APT_New,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Number of Processors,Customer call back request,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
High,0,0,0,0,0,0,No,,Yes,20,No
High,0,0,0,1,2,0,No,No,Yes,NA,No
High,0,0,0,0,0,1,No,No,Yes,50,No
High,0,0,0,0,2,1,No,No,No,1000,No
High,0,0,0,0,1,1,No,No,Yes,NA,No
Very high ,0,0,0,0,0,0,No,No,Yes,5,No
High,0,0,0,0,0,2,No,Yes,No,3000,No
High,0,0,0,0,0,0,No,Yes,No,15,Yes
Very high ,0,0,0,0,0,1,No,Yes,No,NA,No
High,0.041,0.5,0,0,0,1,No,Yes,No,NA,No
Very high ,0.041,0.5,0,0,1,1,No,Yes,Yes,NA,No
Very high ,0.125,0.5,2,0,1,1,No,No,Yes,NA,No
High,0.16,0.5,0,1,0,1,No,Yes,Yes,500,No
High,0.16,0.5,0,0,0,1,No,No,Yes,NA,No
High,0.2,0.5,0,0,0,3,No,Yes,Yes,NA,No
High,0.45,0.5,0,0,1,1,No,Yes,Yes,500,No
High,0.91,0.5,0,0,0,0,No,,Yes,NA,No
High,2.41,5,0,0.5,2,4,No,,Yes,3,No
High,4.87,5,0,3,1,0,No,No,Yes,NA,No
High,7.79,5,1,1,1,1,No,No,Yes,250,No
High,10,10,0,4,1,1,No,No,N/A,NA,No
High,10.96,10,2,0,1,1,No,,Yes,NA,No
High,15.3,17,1,4,0,0,Yes,Yes,N/A,NA,No
Medium,17,17,1,17,0,1,No,No,Yes,300,No
High,20,17,1,0,1,1,No,Yes,N/A,20,N/A
Low,35.91,43,0,2,1,3,No,No,Yes,NA,No
Medium,43.12,43,2,33,2,1,No,No,No,20,No
High,50.54,43,1,0,2,3,No,Yes,Yes,500,No
